B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,LocationX
,,-98,-90,,,,,-99,-99,-92,-93,,,-103,,-101,-99,-96,0
-88,,-94,-76,,,-76,-72,-85,-88,-75,-95,-81,-90,-82,-80,-83,,,2
-95,,,,-95,-90,,-79,-86,-92,,,-99,-96,-80,,-83,,,2
-80,,-81,-86,-84,-82,-80,-86,-76,-83,,,-92,-98,-93,-83,-85,,,3
-81,-71,-84,,-87,-74,-81,,-88,-87,,,-83,-86,,-81,-76,,,2
-87,,-90,-75,,,-76,-71,-91,-85,-72,-94,-85,-92,-84,-81,-82,,,2
-88,,-86,-70,,,-77,-84,-83,-83,-80,,-92,-91,-82,-79,-79,,-79,1
,-94,-96,-87,,-73,-89,,-99,-92,-95,-93,,,-86,-92,,,,0
,-93,-96,-90,,-87,-89,,-100,-89,-96,-92,,,-89,-91,,,,0
-84,-77,-65,-87,-84,,-92,,-82,-86,-82,-89,,,-95,,-84,-83,-91,2
-93,-90,-79,-87,-74,,,,-90,-89,-94,,-88,-101,-87,-82,-90,-90,,0
-89,-83,,-92,-94,-83,-87,-83,,-86,-83,,,,-75,,-73,,-82,3
,-97,-93,-82,,-84,-89,,-100,-90,-96,-95,,,-93,-92,,,,0
,-100,-105,-89,,-86,-89,,-97,-89,-96,-93,,,-93,-70,,,,0
,-76,-71,,,,-92,,-69,-82,-88,-83,,,-96,,,-90,-89,3
-85,,-92,-76,,,-76,-72,-87,-87,-73,-95,-85,-90,-81,-78,-82,,,2
-81,-71,-82,,-85,-73,-80,,-85,-86,,,-81,-86,,-78,-76,,,2
-92,-87,-99,-88,-89,-88,-85,,-100,-87,-96,-92,-99,,,-90,,-93,,0
-89,,-85,-70,,,-77,-82,-83,-81,-80,,-90,-92,-82,-80,-80,,-80,1
-90,,-92,,,,,-77,-81,,-68,,,-88,,-76,-83,-85,,2
-93,-84,,-89,,-85,,-85,-86,-85,,-90,-88,-95,-77,,-86,-87,,3
-89,-82,,-88,-94,-85,-82,,,-84,-70,-94,-81,,-73,-77,-91,,-75,3
-87,,-90,-76,,,-76,-71,-90,-85,-72,-93,-83,-90,-84,-80,-82,,,2
-87,,-84,-70,,,-76,-82,-84,-83,-81,,-90,-92,-83,-79,-82,,-79,1
-97,,-90,-84,-89,-89,-86,,-93,,-92,-87,-95,,-98,-90,-95,,,0
-86,-82,,-93,-91,-83,-92,-84,,-90,-76,,,,-72,,-71,,-84,3
-93,,,,-99,-92,,-81,-88,-94,,,-96,-94,-80,,-81,,,2
-86,-75,-85,-75,-85,,,,-89,-77,-81,-90,-93,-90,-78,-77,-79,,,1
-81,,-78,-85,-83,-81,-82,-83,-74,-83,,,-92,-96,-94,-86,-82,,,3
-79,,-82,-89,-84,-81,-81,-85,-77,-82,,,-93,-98,-93,-81,-86,,,3
-89,-81,-96,,-98,-86,,-81,-86,,,,-81,-93,-71,-75,-86,-87,-75,3
-94,-88,,-88,,-85,,-83,-87,-87,,-91,-89,-97,-75,,-81,-89,,3
-84,-78,-66,-88,-83,,-89,,-78,-86,-88,-92,,,-92,,-85,-84,-92,2
-81,,-81,-84,-88,-82,,-81,-78,-81,,,-93,-101,-93,-86,-90,,,3
-93,-85,,-91,,-87,,-84,-85,-85,,-90,-88,-94,-76,,-84,-87,,3
-93,-86,,-90,-90,-83,-82,,,-81,-68,-92,-77,,-70,-89,-89,,-74,3
,-75,,,,,-91,,,,-87,-82,,,,,,-88,-92,3
-91,-91,-81,-89,-76,,,,-89,-87,-99,,-90,-94,-86,-80,-87,-89,,0
